GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG316.178-226|UNKNOWN	0	0	0	0	0	0	0	0	0
HE_FRAG5793.72-1272|SPU_014460	709	564	564	380	310	100	611	242	691
HE_FRAG6624.2-1680|SPU_023952	313	188	188	92	150	169	307	357	234
HE_CONTIG1866|SPU_009879	24	11	11	3	1	2	253	16	34
HE_FRAG14673.62-599|SPU_006174	353	210	210	146	345	116	322	120	238
HE_CONTIG1118|SPU_023355	600	944	944	714	2144	339	2264	704	1683
HE_COMP242580_C3_SEQ1.0-288|SPU_026362	52	70	70	62	120	26	74	92	77
HE_COMP239160_C4_SEQ1.0-1776|SPU_009647	445	503	503	731	1450	778	769	185	517
HE_CONTIG5012|SPU_012342	34	220	220	33	48	6	138	162	113
HE_COMP239002_C2_SEQ1.0-2823|SPU_008966	2186	2433	2433	2468	4096	4027	3592	1959	3398
HE_CONTIG2358|SPU_021991	205	190	190	771	1930	1469	195	66	174
HE_COMP240801_C1_SEQ1.60-1803|SPU_015902	1469	444	444	733	1532	2283	1561	2010	1546
HE_COMP236522_C3_SEQ10.118-160|UNKNOWN	21	38	38	38	36	26	25	20	64
HE_COMP231113_C0_SEQ1.39-1539|SPU_020012	366	289	289	92	247	182	491	347	366
HE_FRAG7276.240-3306|SPU_001785	5114	3915	3915	6658	10846	4645	7253	5089	9938
HE_CONTIG2105|SPU_017120	42	3	3	32	28	11	20	10	25
HE_FRAG1204.10-58|UNKNOWN	1	0	0	0	1	0	0	0	1
HE_CONTIG2705|UNKNOWN	20	7	7	5	5	3	7	12	23
HE_COMP232533_C0_SEQ1.309-780|SPU_028302	106	73	73	93	187	58	232	63	79
HE_CONTIG3100|SPU_017709	318	235	235	376	986	88	413	464	505
HE_CONTIG2670|SPU_007267	455	8	8	57	51	88	161	10	213
HE_CONTIG4248|SPU_015084	195	171	171	128	162	15	353	184	289
HE_FRAG16037.2094-3536|SPU_019287	937	1043	1043	350	544	245	565	428	458
HE_FRAG13798.0-984|SPU_011658	425	244	244	390	720	642	814	760	628
HE_FRAG1868.78-2525|SPU_007386	1350	1281	1281	900	2011	871	561	639	1329
HE_FRAG7023.19-1233|SPU_018702	2993	2955	2955	1464	1865	1075	3687	1247	2637
HE_FRAG21999.0-7617|SPU_028833	987	739	739	2723	4007	1208	1023	680	889
HE_CONTIG2680|UNKNOWN	95	4	4	4	7	10	10	4	3
HE_FRAG23230.0-1472|SPU_014424	56	149	149	34	68	12	31	111	32
HE_CONTIG1781|SPU_017029	293	796	796	341	529	325	296	211	195
HE_COMP232859_C6_SEQ1.0-1329|SPU_008239	1299	633	633	186	577	306	1004	731	1403
HE_FRAG16370.3-711|SPU_018090	335	425	425	220	709	91	374	345	204
HE_COMP233676_C3_SEQ2.98-1568|SPU_018372	79	2	2	1128	564	1063	941	533	172
HE_FRAG259.1415-1700|UNKNOWN	3	0	0	5	3	2	1	1	1
HE_FRAG4895.216-1263|SPU_024723	44	13	13	21	11	5	59	48	48
HE_COMP229741_C0_SEQ2.0-2211|SPU_022450	316	93	93	219	353	350	375	394	190
HE_FRAG9574.261-2436|SPU_016327	298	330	330	1237	2117	891	732	352	782
HE_FRAG10995.1818-1941|SPU_017911	3	0	0	0	0	0	19	0	0
HE_COMP230358_C1_SEQ3.63-249|UNKNOWN	0	0	0	1	11	1	0	0	0
HE_FRAG17700.2-4004|SPU_018720	154	513	513	290	1673	53	199	178	175
HE_COMP243031_C6_SEQ3.44-107|UNKNOWN	0	0	0	0	0	0	0	0	0
HE_CONTIG3045|UNKNOWN	53	37	37	152	60	47	144	56	61
HE_CONTIG4514|SPU_016903	213	609	609	407	1005	118	298	228	304
HE_FRAG11691.0-1227|UNKNOWN	57	42	42	121	254	113	101	85	77
HE_CONTIG2050|SPU_015574	22	25	25	1	9	5	27	6	5
