GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_CONTIG905|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG3861.0-2127|SPU_004819	235	32	302	0	21	0	84	15
HE_FRAG22214.1245-2550|SPU_027122	70	1	68	3	17	0	6	1
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	1586	3	1180	5	1	0	213	3
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	106	12	32	0	11	0	32	0
HE_CONTIG878|SPU_012099	0	0	0	0	0	0	1	0
HE_FRAG1417.0-1503|SPU_003632	237	11	427	0	1	0	36	4
HE_FRAG14480.0-3774|SPU_007008	1119	108	924	15	107	0	181	77
HE_FRAG9362.0-441|SPU_001402	37	1	36	4	1	0	14	0
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	212	27	462	38	16	7	39	3
HE_FRAG7601.83-800|SPU_023388	32	12	45	0	0	0	4	0
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	1268	21	1372	26	421	0	259	2
HE_FRAG5362.26-1298|SPU_001599	61	23	26	2	3	0	14	3
HE_FRAG7433.129-560|SPU_006043	159	5	33	7	3	0	34	4
HE_FRAG23288.0-6546|SPU_015529	10	0	15	0	5	0	123	0
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG4868|UNKNOWN	36	0	0	0	0	0	2	0
HE_CONTIG3381|SPU_007198	6	0	2	0	0	0	16	0
HE_FRAG20381.8-1233|SPU_019283	149	0	19	2	8	1	26	14
HE_FRAG17929.110-924|SPU_017355	226	53	373	5	13	2	4	0
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	50	0	91	0	0	0	0	0
HE_FRAG1305.642-1413|SPU_014985	26	4	22	0	5	0	34	17
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	20	0	6	0	3	0	11	0
HE_FRAG5707.6-2820|SPU_010379	1108	144	874	55	58	0	168	1
HE_CONTIG4015|SPU_023240	1	0	0	0	0	0	6	0
HE_FRAG8076.981-1587|SPU_009961	47	0	7	0	0	0	1	0
HE_CONTIG1654|SPU_024684	229	7	363	1	12	0	18	0
HE_CONTIG3961|SPU_020348	0	0	0	0	0	0	51	0
HE_FRAG2339.2-1127|SPU_010756	365	15	19	0	30	4	34	0
HE_CONTIG2602|SPU_015869	159	8	462	36	22	0	53	59
HE_FRAG20681.23-2120|SPU_016467	171	55	100	33	19	3	113	105
HE_FRAG9957.147-525|SPU_000222	28	0	1	0	4	0	3	0
HE_FRAG2585.0-1314|SPU_020440	97	8	64	5	20	0	30	4
HE_FRAG8935.10-785|SPU_001778	463	80	1151	98	227	26	272	23
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	239	33	259	10	5	2	70	15
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG3894|SPU_009739	566	36	283	21	130	4	67	13
HE_CONTIG437|SPU_000941	0	0	0	0	0	0	110	0
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	259	24	631	4	0	0	13	5
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG16757.411-1167|UNKNOWN	3	0	10	0	2	0	25	7
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	0	0	0	0	0	0	4	0
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	0	0	0	0	0	0	3	0
HE_CONTIG890|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG24|UNKNOWN	0	0	0	0	0	0	0	4
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	0	0	0	0	0	0	2	0
HE_CONTIG1307|SPU_025385	0	0	0	0	0	0	1	0
HE_CONTIG4449|SPU_016473	0	0	0	0	0	0	1	0
HE_CONTIG980|UNKNOWN	0	8	0	1	0	4	0	169
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	12	2	22	1	2	0	16	0
HE_CONTIG4230|SPU_010424	4225	261	4889	5	1016	62	483	381
HE_CONTIG4101|SPU_002210	1007	138	2306	157	199	0	136	1
HE_CONTIG4549|UNKNOWN	107	9	113	30	0	0	74	38
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	1662	171	1330	215	203	0	109	2
HE_CONTIG2231|UNKNOWN	94	7	124	0	0	0	6	0
HE_CONTIG1194|UNKNOWN	4	0	5	0	1	0	3	0
HE_CONTIG3487|SPU_028935	286	2	195	36	0	0	464	15
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	40	5	55	0	2	0	10	2
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	88	1	165	1	1	0	30	1
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	27	0	17	0	0	0	2	0
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5946.152-1406|SPU_009427	149	25	103	17	0	0	61	6
HE_CONTIG3139|SPU_001395	451	141	490	40	15	1	177	105
HE_CONTIG1272|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	198	82	554	1	80	0	166	26
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	66	5	107	0	0	0	3	0
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	0	8	1	0	0	0	0	16
HE_FRAG1569.2-2256|SPU_016101	2067	622	2795	108	179	1	236	144
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	0	0	0	0	0	0	0	0
HE_FRAG7809.0-1056|SPU_013570	100	0	20	0	10	0	4	6
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	0	0	0	0	0	0	14	0
HE_FRAG14308.68-1059|SPU_026460	162	21	113	13	42	1	27	22
HE_CONTIG1524|SPU_012700	270	17	144	6	31	0	55	55
HE_CONTIG3424|SPU_006054	401	41	324	34	13	2	172	89
HE_CONTIG786|SPU_028601	43	6	58	5	3	0	5	1
HE_FRAG269.57-873|SPU_027747	9	0	7	0	0	0	36	0
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	20	0	12	2	0	0	6	0
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	21	13	12	5	1	0	7	10
HE_FRAG23083.1908-2588|SPU_011423	54	7	28	4	21	0	9	1
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	3	0	7	0	0	0	10	0
HE_FRAG945.327-513|SPU_006004	0	0	0	0	0	0	6	0
