GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG4868|UNKNOWN	99	0	14	0	1	0	4	0
HE_CONTIG3381|SPU_007198	42	0	142	0	0	0	2	0
HE_FRAG20381.8-1233|SPU_019283	43	18	42	4	9	4	13	6
HE_FRAG17929.110-924|SPU_017355	120	35	202	24	2	2	6	0
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	69	4	90	0	0	0	3	0
HE_FRAG1305.642-1413|SPU_014985	7	0	5	0	0	0	37	2
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	33	5	18	0	2	0	5	0
HE_FRAG5707.6-2820|SPU_010379	1025	254	1077	68	79	0	196	7
HE_CONTIG4015|SPU_023240	0	0	0	0	0	0	4	0
HE_FRAG8076.981-1587|SPU_009961	55	0	45	6	0	0	8	0
HE_CONTIG1654|SPU_024684	1029	38	713	0	24	0	10	0
HE_CONTIG3961|SPU_020348	0	0	0	0	0	0	17	0
HE_FRAG2339.2-1127|SPU_010756	234	8	46	0	35	8	15	0
HE_CONTIG2602|SPU_015869	104	1	369	21	16	0	42	53
HE_FRAG20681.23-2120|SPU_016467	83	61	58	3	10	0	43	67
HE_FRAG9957.147-525|SPU_000222	101	1	46	4	0	0	7	8
HE_FRAG2585.0-1314|SPU_020440	282	52	121	23	42	11	38	12
HE_FRAG8935.10-785|SPU_001778	2260	115	3246	4	691	17	678	1
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	133	48	202	9	0	0	46	10
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	0	0	0	0	0	3	0
HE_CONTIG3894|SPU_009739	722	9	456	2	123	0	110	8
HE_CONTIG437|SPU_000941	0	0	0	0	0	0	97	0
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	454	52	703	0	0	0	71	3
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG16757.411-1167|UNKNOWN	6	0	4	0	0	0	82	1
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	1	0	2	0	0	0	18	0
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	11	0	7	0	1	0	18	0
HE_CONTIG890|UNKNOWN	0	0	0	0	0	0	5	0
HE_CONTIG24|UNKNOWN	0	0	0	0	1	0	2	8
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	0	0	0	0	0	0	0	0
HE_CONTIG1307|SPU_025385	0	0	0	0	0	0	1	0
HE_CONTIG4449|SPU_016473	0	0	0	0	0	0	2	0
HE_CONTIG980|UNKNOWN	0	2	0	2	1	97	0	227
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	22	3	14	14	5	3	31	4
HE_CONTIG4230|SPU_010424	1847	32	1640	2	334	0	198	139
HE_CONTIG4101|SPU_002210	378	0	375	35	48	0	3	0
HE_CONTIG4549|UNKNOWN	319	55	204	111	1	0	152	35
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	1171	311	1256	138	229	0	68	1
HE_CONTIG2231|UNKNOWN	101	6	129	0	0	0	2	0
HE_CONTIG1194|UNKNOWN	9	0	9	4	0	0	2	6
