GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_FRAG5175.621-879|SPU_008355	0	0	0	0	0	0	12	0
HE_FRAG18746.0-834|SPU_003139	252	111	75	13	37	25	76	33
HE_CONTIG4393|SPU_024463	10	6	1	0	0	0	7	8
HE_FRAG5653.89-1571|SPU_007945	370	14	158	8	13	0	49	1
HE_CONTIG5007|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG4008|SPU_009335	681	57	94	9	91	6	69	7
HE_CONTIG1626|SPU_013326	377	20	1357	1	0	0	46	0
HE_FRAG623.0-1536|SPU_009771	14	0	30	0	1	0	18	0
HE_CONTIG1650|UNKNOWN	1001	1034	20	27	0	0	728	2391
HE_FRAG22208.23-2066|SPU_007265	146	22	171	1	20	1	56	11
HE_FRAG10171.19-1608|SPU_014529	37	0	49	4	20	0	6	0
HE_FRAG14502.0-3903|SPU_026013	367	112	358	46	12	0	58	71
HE_CONTIG2437|SPU_014728	293	73	667	59	23	0	174	26
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	0	0	0	0	0	0	0	6
HE_CONTIG905|UNKNOWN	0	0	0	0	0	0	7	0
HE_FRAG3861.0-2127|SPU_004819	463	222	736	29	38	3	139	138
HE_FRAG22214.1245-2550|SPU_027122	199	20	646	16	88	1	46	2
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	1186	2	877	0	1	0	92	0
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	134	36	74	7	10	0	28	9
HE_CONTIG878|SPU_012099	0	0	0	0	0	0	5	0
HE_FRAG1417.0-1503|SPU_003632	236	21	317	6	0	0	35	10
HE_FRAG14480.0-3774|SPU_007008	819	231	137	9	44	18	104	56
HE_FRAG9362.0-441|SPU_001402	110	6	61	10	4	6	32	0
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	194	47	472	9	10	3	59	9
HE_FRAG7601.83-800|SPU_023388	181	16	33	0	6	0	37	19
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	2370	0	3847	12	1155	0	564	3
HE_FRAG5362.26-1298|SPU_001599	603	138	1	0	27	0	73	19
HE_FRAG7433.129-560|SPU_006043	463	3	25	2	10	0	6	15
HE_FRAG23288.0-6546|SPU_015529	210	61	15	0	30	12	132	26
