GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG9423.50-314|SPU_002802	30	46	69	24	102	52	1	9	29
HE_FRAG13811.659-2738|SPU_000324	150	135	290	107	198	170	10	32	22
HE_FRAG4783.0-2367|SPU_011065	4171	5957	8866	2715	5603	2729	97	789	762
HE_CONTIG3783|SPU_000635	188	192	235	85	136	63	18	31	23
HE_FRAG15198.0-2124|SPU_005988	462	1088	1665	610	1113	1054	186	464	354
HE_COMP245612_C2_SEQ1.1-719|SPU_001690	1581	1190	1717	1881	2545	1383	266	441	349
HE_CONTIG5209|SPU_017029	687	797	1008	1423	1368	1295	112	213	187
HE_COMP239356_C1_SEQ2.0-1154|SPU_009455	3061	1358	2028	984	1524	1342	208	445	422
HE_FRAG5175.621-879|SPU_008355	66	54	41	11	16	23	1	6	1
HE_FRAG18746.0-834|SPU_003139	888	937	1277	795	748	396	43	156	105
HE_CONTIG4393|SPU_024463	369	214	341	223	360	369	54	65	157
HE_FRAG5653.89-1571|SPU_007945	3847	4265	4929	5624	6846	6402	639	1185	1274
HE_CONTIG5007|UNKNOWN	5	2	2	2	2	1	1	0	4
HE_CONTIG4008|SPU_009335	3635	3686	5243	4866	8125	2458	134	1055	950
HE_CONTIG1626|SPU_013326	4229	4055	4998	9760	10605	12287	2254	2092	1666
HE_FRAG623.0-1536|SPU_009771	1684	2915	3782	6574	5535	7380	630	1409	654
HE_CONTIG1650|UNKNOWN	9673	12447	14101	2167	2184	1861	1284	2049	1951
HE_FRAG22208.23-2066|SPU_007265	1172	1264	2075	2419	3084	1698	62	307	210
HE_FRAG10171.19-1608|SPU_014529	499	950	936	1107	1808	1233	75	181	197
HE_FRAG14502.0-3903|SPU_026013	1371	1354	1706	3084	3917	2114	36	305	282
HE_CONTIG2437|SPU_014728	1829	1909	2251	3171	4275	2477	116	507	590
HE_COMP232671_C5_SEQ1.14-290|SPU_025983	262	117	159	167	236	226	103	62	49
HE_CONTIG905|UNKNOWN	28	24	38	0	3	1	7	3	6
HE_FRAG3861.0-2127|SPU_004819	3599	4229	4850	4045	6290	4935	1045	1752	2382
HE_FRAG22214.1245-2550|SPU_027122	588	1333	1693	889	1577	1252	35	273	409
HE_COMP239451_C8_SEQ1.0-446|SPU_012345	14729	10985	10745	13105	9481	15998	4462	2610	2544
HE_COMP236681_C4_SEQ1.41-1511|SPU_025243	755	741	1341	654	1285	791	48	357	194
HE_CONTIG878|SPU_012099	30	45	49	18	19	15	4	2	4
HE_FRAG1417.0-1503|SPU_003632	1354	1824	2463	3444	4302	3645	315	702	599
HE_FRAG14480.0-3774|SPU_007008	6918	7158	8515	8329	6516	9403	1433	2531	2176
HE_FRAG9362.0-441|SPU_001402	356	535	696	432	480	557	40	84	67
HE_COMP247611_C2_SEQ1.0-3152|SPU_018068	698	803	1916	4336	5997	4076	47	570	267
HE_FRAG7601.83-800|SPU_023388	1242	239	334	1851	3269	3263	166	113	366
HE_COMP236703_C0_SEQ1.0-1662|SPU_003114	9707	8320	10502	35504	24239	45578	3703	3377	3964
HE_FRAG5362.26-1298|SPU_001599	1206	1373	1465	427	911	354	129	272	406
HE_FRAG7433.129-560|SPU_006043	1760	1161	1366	508	614	335	178	198	132
HE_FRAG23288.0-6546|SPU_015529	786	1613	1909	563	2004	583	45	291	218
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	6	6	9	16	23	19	5	2	2
HE_CONTIG4868|UNKNOWN	280	266	238	145	183	144	55	33	118
HE_CONTIG3381|SPU_007198	334	382	672	87	783	331	41	135	186
HE_FRAG20381.8-1233|SPU_019283	777	1114	1163	512	1271	492	140	175	139
HE_FRAG17929.110-924|SPU_017355	2361	1307	2151	3118	3476	2425	324	661	391
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	312	209	301	1363	1439	1366	96	189	166
HE_FRAG1305.642-1413|SPU_014985	129	100	127	578	680	413	23	63	51
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	379	81	153	147	177	174	118	52	63
HE_FRAG5707.6-2820|SPU_010379	7860	4665	7347	10128	6529	9643	3823	3073	2706
HE_CONTIG4015|SPU_023240	532	109	469	23	33	18	6	5	4
HE_FRAG8076.981-1587|SPU_009961	602	528	651	385	968	316	152	200	114
HE_CONTIG1654|SPU_024684	1401	1523	1481	7365	6867	6841	1035	1125	1814
HE_CONTIG3961|SPU_020348	1	5	24	582	498	419	5	14	17
HE_FRAG2339.2-1127|SPU_010756	2970	2179	2537	388	880	310	123	437	346
HE_CONTIG2602|SPU_015869	2122	1891	2414	5723	5881	6621	344	559	606
HE_FRAG20681.23-2120|SPU_016467	1524	1965	2560	1931	3119	1320	88	317	325
HE_FRAG9957.147-525|SPU_000222	573	112	161	86	110	246	181	145	167
HE_FRAG2585.0-1314|SPU_020440	1166	1252	2200	1255	1946	2179	342	331	581
HE_FRAG8935.10-785|SPU_001778	16816	14643	18203	30215	49718	35460	10014	4455	7012
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	2444	1122	1806	2672	2040	2517	308	517	448
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	13	10	16	6	4	5	5	0	3
HE_CONTIG3894|SPU_009739	9105	5086	6247	5227	4803	5841	508	965	1430
HE_CONTIG437|SPU_000941	40	26	26	1417	3060	1993	221	180	97
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	897	1330	2285	7269	3773	6099	1314	1588	1283
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	8	4	3	8	5	7	0	1	0
HE_FRAG16757.411-1167|UNKNOWN	70	32	58	586	957	418	24	44	93
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	29	85	99	75	534	169	16	51	21
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	55	136	263	85	232	139	9	31	37
HE_CONTIG890|UNKNOWN	19	18	26	8	2	6	1	1	5
HE_CONTIG24|UNKNOWN	25	49	45	8	29	19	10	3	11
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	13	3	10	26	41	17	0	1	0
HE_CONTIG1307|SPU_025385	3	3	3	6	18	8	0	1	1
HE_CONTIG4449|SPU_016473	7	3	15	3	3	3	1	0	2
HE_CONTIG980|UNKNOWN	898	658	860	1034	1500	940	145	297	329
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	213	200	301	646	953	798	62	116	96
HE_CONTIG4230|SPU_010424	61699	34305	33357	51264	41357	53188	5120	3533	4192
HE_CONTIG4101|SPU_002210	13651	5829	8576	32392	37578	27314	1183	1375	839
HE_CONTIG4549|UNKNOWN	3517	1013	568	2429	1172	1812	1783	740	877
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	10367	9719	10550	12033	15392	15090	2903	2471	3174
HE_CONTIG2231|UNKNOWN	1029	1288	1517	2685	2094	1580	122	306	238
HE_CONTIG1194|UNKNOWN	19	67	82	94	150	145	1	32	30
HE_CONTIG3487|SPU_028935	3442	1274	1509	7292	4378	4832	762	963	416
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	339	484	556	510	267	483	101	196	140
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	726	1007	1267	2124	2161	2067	147	279	415
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	141	181	251	155	264	214	22	72	53
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	1	1	1	0	0	2	0	0	0
HE_FRAG5946.152-1406|SPU_009427	719	1033	1542	1840	2012	1640	72	243	157
HE_CONTIG3139|SPU_001395	2599	4440	6046	7519	11844	8284	697	1299	2093
HE_CONTIG1272|UNKNOWN	4	7	5	0	0	0	0	2	3
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	3410	2919	3996	5306	7021	3615	252	830	545
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	642	555	749	1735	2138	1349	175	221	273
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	649	366	381	56	106	30	13	13	25
HE_FRAG1569.2-2256|SPU_016101	18970	7044	12869	17870	18931	17275	2925	3378	1763
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	9	47	54	2	37	23	0	6	5
HE_FRAG7809.0-1056|SPU_013570	139	135	199	809	694	754	42	89	117
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	1199	649	609	907	757	344	220	459	87
